high frequency data, created:, 12-Jun-2019
GC-MD, Cape Grim, Tasmania, Lat.:, -40.68, 40.68S, Lon.:, 144.69, 144.69E, Alt:, 94, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: paul.krummel@csiro.au; paul.fraser@csiro.au; raywang@eas.gatech.edu 

scale:, --, --, --, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-16, --, SIO-05, --, Tohoku-Uni, --, SIO-98, --, CSIRO94, --, MPI-2009, --
unit:, --, --, --, --, ppt, --, ppt, --, ppt, --, ppt, --, ppb, --, ppt, --, ppb, --, ppt, --, ppb, --, ppb, --
mm/dd/yyyy hh:mm, year, month, day, hour, min, CFC-11, flag, CFC-12, flag, CH3CCl3, flag, CCl4, flag, N2O, flag, CFC-113, flag, CH4, flag, CHCl3, flag, CO, flag, H2 flag
01/01/2004 00:25, 2004, 1, 1, 0, 25, 251.487, , 544.826, , 23.552, , 92.144, , 317.658, , 79.430, , 1721.924, , 4.865, , -99.990, , 545.303, 
01/01/2004 01:05, 2004, 1, 1, 1, 5, 251.691, , 541.131, , 24.004, , 92.235, , 318.687, , 79.390, , 1723.417, , 5.494, , -99.990, , 547.149, 
01/01/2004 01:45, 2004, 1, 1, 1, 45, 251.623, , , , 23.813, , 92.694, , , , 79.577, , 1722.699, , 5.187, , -99.990, , 544.305, 
01/01/2004 02:25, 2004, 1, 1, 2, 25, 251.675, , , , 24.053, , 92.030, , , , 79.501, , 1723.807, , 5.204, , -99.990, , 546.544, 
01/01/2004 03:05, 2004, 1, 1, 3, 5, 251.449, , 544.003, , 23.327, , 92.242, , 317.295, , 79.730, , 1723.411, , 5.256, , -99.990, , 551.098, 
01/01/2004 03:45, 2004, 1, 1, 3, 45, 251.398, , 542.329, , 23.803, , 91.722, , 318.129, , 79.639, , 1723.581, , 5.435, , -99.990, , 551.430, 
01/01/2004 04:25, 2004, 1, 1, 4, 25, 251.720, , 542.588, , 24.023, , 92.407, , 318.175, , 79.423, , 1723.319, , 5.000, , -99.990, , 556.042, 
01/01/2004 05:05, 2004, 1, 1, 5, 5, 251.463, , 541.763, , 23.721, , 92.268, , 318.183, , 79.614, , 1723.584, , 5.103, , -99.990, , 551.505, 
01/01/2004 05:45, 2004, 1, 1, 5, 45, 251.607, , 542.287, , 24.319, , 92.034, , 318.214, , 79.671, , 1723.937, , 5.417, , -99.990, , 546.054, 
01/01/2004 06:25, 2004, 1, 1, 6, 25, 251.510, , 542.501, , 24.017, , 91.857, , 317.875, , 79.519, , 1722.428, , 4.737, , -99.990, , 549.748, 
