high frequency data, created:, 12-Jun-2019
GC-MD, Mace Head, Ireland, Lat.:, 53.33, 53.33N, Lon.:, -9.9, 9.9W, Alt:, 5, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: s.odoherty@bristol.ac.uk; dickon.young@bristol.ac.uk; raywang@eas.gatech.edu 

scale:, --, --, --, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-16, --, SIO-05, --, Tohoku-Uni, --, SIO-98, --, CSIRO94, --, MPI-2009, --
unit:, --, --, --, --, ppt, --, ppt, --, ppt, --, ppt, --, ppb, --, ppt, --, ppb, --, ppt, --, ppb, --, ppb, --
mm/dd/yyyy hh:mm, year, month, day, hour, min, CFC-11, flag, CFC-12, flag, CH3CCl3, flag, CCl4, flag, N2O, flag, CFC-113, flag, CH4, flag, CHCl3, flag, CO, flag, H2 flag
01/04/2001 10:18, 2001, 1, 4, 10, 18, , , , , , , , , , , , , , , , , 130.821, , 503.205, 
01/04/2001 10:58, 2001, 1, 4, 10, 58, , , , , , , , , , , , , 1851.411, , , , 131.649, , 502.355, 
01/04/2001 11:38, 2001, 1, 4, 11, 38, , , 547.423, , , , , , 317.249, , , , 1855.059, , , , 130.710, , 503.852, 
01/04/2001 12:18, 2001, 1, 4, 12, 18, , , 547.567, , , , , , 317.285, , , , 1849.966, , , , 130.968, , 505.839, 
01/04/2001 12:58, 2001, 1, 4, 12, 58, , , 547.469, , , , , , 317.260, , , , 1850.538, , , , 131.335, , 505.183, 
01/04/2001 13:38, 2001, 1, 4, 13, 38, , , 546.817, , , , , , 317.257, , , , 1850.642, , , , 130.611, , 504.023, 
01/04/2001 14:18, 2001, 1, 4, 14, 18, , , 547.473, , , , , , 317.064, , , , 1850.859, , , , 131.109, , 507.032, 
01/04/2001 14:58, 2001, 1, 4, 14, 58, , , 547.466, , , , , , 317.291, , , , 1849.807, , , , 130.897, , 507.125, 
01/04/2001 15:38, 2001, 1, 4, 15, 38, , , 547.480, , , , , , 317.241, , , , 1844.612, , , , 131.000, , 505.689, 
01/04/2001 16:18, 2001, 1, 4, 16, 18, , , 547.172, , , , , , 317.261, , , , 1852.625, , , , 131.104, , 501.830, 
01/04/2001 16:58, 2001, 1, 4, 16, 58, , , 547.138, , , , , , 317.277, , , , 1846.879, , , , 131.625, , 505.199, 
01/04/2001 17:38, 2001, 1, 4, 17, 38, , , 547.159, , , , , , 317.303, , , , 1850.108, , , , 132.201, , 508.984, 
01/04/2001 18:19, 2001, 1, 4, 18, 19, , , 547.635, , , , , , 317.377, , , , 1852.293, , , , 131.744, , 504.084, 
01/04/2001 18:59, 2001, 1, 4, 18, 59, , , 547.360, , , , , , 317.213, , , , 1850.402, , , , 135.061, , 505.294, 
01/04/2001 19:39, 2001, 1, 4, 19, 39, , , 547.589, , , , , , 317.064, , , , 1847.125, , , , 134.025, , 512.133, 
01/04/2001 20:19, 2001, 1, 4, 20, 19, , , 548.337, , , , , , 317.340, , , , 1839.098, , , , 134.067, , 517.525, 
01/04/2001 20:59, 2001, 1, 4, 20, 59, , , 547.865, , , , , , 317.233, , , , 1840.809, , , , 134.494, , 511.920, 
01/04/2001 21:39, 2001, 1, 4, 21, 39, , , 547.533, , , , , , 317.497, , , , 1896.914, P, , , 193.225, P, 509.106, 
01/04/2001 22:19, 2001, 1, 4, 22, 19, , , 548.172, , , , , , 317.636, , , , 1878.463, , , , 171.787, P, 506.918, 
01/04/2001 22:59, 2001, 1, 4, 22, 59, , , 547.992, , , , , , 317.381, , , , 1861.868, , , , 170.375, P, 505.829, 
01/04/2001 23:39, 2001, 1, 4, 23, 39, , , 547.706, , , , , , 317.273, , , , 1869.945, , , , 160.140, P, 511.644, 
01/05/2001 00:19, 2001, 1, 5, 0, 19, , , 547.398, , , , , , 317.595, , , , 1892.579, P, , , 168.608, P, 510.044, 
01/05/2001 01:39, 2001, 1, 5, 1, 39, , , , , , , , , , , , , 1898.027, P, , , 165.687, P, 508.936, 
01/05/2001 02:19, 2001, 1, 5, 2, 19, , , , , , , , , , , , , 1902.495, P, , , 162.520, P, 501.250, 
01/05/2001 02:59, 2001, 1, 5, 2, 59, 260.160, , 547.242, , 40.963, , 95.947, , 317.133, , 82.291, , 1869.736, , 24.007, P, 144.133, , 503.336, 
01/05/2001 03:39, 2001, 1, 5, 3, 39, 260.509, , 547.869, , 42.509, , 97.422, , 317.508, , 82.188, , 1878.885, , 15.537, P, 150.029, P, 505.881, 
01/05/2001 04:19, 2001, 1, 5, 4, 19, 260.359, , 547.525, , 43.220, , 96.512, , 317.502, , 82.053, , 1894.163, P, 16.818, P, 157.488, P, 508.697, 
01/05/2001 04:59, 2001, 1, 5, 4, 59, 260.267, , 547.331, , 42.108, , 96.580, , 317.486, , 82.073, , 1896.494, P, 17.023, P, 156.029, P, 508.772, 
